Country,Income level,Government health expenditure per capita,Life expectancy (years),year
Afghanistan,Low income,2.6709059596255744,60.175000000000004,2010-2021
Albania,Upper middle income,146.41490838051348,77.35000000000001,2010-2021
Algeria,Upper middle income,184.8262681491966,75.80833333333334,2010-2021
Angola,Lower middle income,61.83561160685443,61.041666666666664,2010-2021
Antigua and Barbuda,High income,529.3888123610393,75.89166666666667,2010-2021
Argentina,Upper middle income,869.2858136620943,76.20833333333333,2010-2021
Armenia,Upper middle income,83.26771247136469,73.825,2010-2021
Australia,High income,4388.36051256782,82.55833333333334,2010-2021
Austria,High income,3893.1691461829555,81.06666666666668,2010-2021
Azerbaijan,Upper middle income,87.89510494696196,72.8,2010-2021
Bahamas,High income,895.1651944382473,72.49166666666666,2010-2021
Bahrain,High income,767.6953636901447,75.14166666666667,2010-2021
Bangladesh,Lower middle income,8.168873593785616,72.72500000000001,2010-2021
Barbados,High income,707.3309317092411,76.29166666666667,2010-2021
Belarus,Upper middle income,299.7667653406379,72.99166666666666,2010-2021
Belgium,High income,3819.7168576173794,80.78333333333333,2010-2021
Belize,Upper middle income,210.8557391285029,74.24166666666666,2010-2021
Benin,Lower middle income,5.763503478030319,62.85833333333333,2010-2021
Bhutan,Lower middle income,75.69788989345908,73.24166666666666,2010-2021
Bolivia,Lower middle income,144.14584757597584,70.8,2010-2021
Bosnia and Herzegovina,Upper middle income,373.7451833122287,76.83333333333333,2010-2021
Botswana,Upper middle income,310.77433191337786,61.875,2010-2021
Brazil,Upper middle income,346.9979893446514,74.39999999999999,2010-2021
Brunei Darussalam,High income,808.9909934800479,76.71666666666667,2010-2021
Bulgaria,High income,461.9615443072034,74.175,2010-2021
Burkina Faso,Low income,14.702818099554298,61.00833333333333,2010-2021
Burundi,Low income,7.492080060174717,62.65,2010-2021
Cabo Verde,Lower middle income,117.21837380853252,74.34166666666667,2010-2021
Cambodia,Lower middle income,21.589261275152836,68.55,2010-2021
Cameroon,Lower middle income,6.865936876593064,59.60833333333333,2010-2021
Canada,High income,4140.117422833244,81.56666666666666,2010-2021
Central African Republic,Low income,3.7438346104784603,50.93333333333334,2010-2021
Chad,Low income,6.7427686109396765,57.86666666666667,2010-2021
Chile,High income,590.3833320447939,79.99166666666666,2010-2021
China,Upper middle income,253.0506047669603,76.39999999999999,2010-2021
Colombia,Upper middle income,316.9213297111398,76.95,2010-2021
Comoros,Lower middle income,10.703487571994211,67.25,2010-2021
Congo,Lower middle income,29.543877027851483,62.15833333333333,2010-2021
Costa Rica,Upper middle income,639.9580390883793,80.11666666666666,2010-2021
Croatia,High income,839.4391475374155,77.75833333333334,2010-2021
Cyprus,High income,1016.0324520700193,81.79166666666667,2010-2021
Czechia,High income,1624.623842496804,78.30833333333334,2010-2021
